"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",129.24891838295,0.701688416922492,0.254519418871935,2.75691505203206,0.00583495079602506,0.0376571717723535
"MIR6859-1",0.847643765498554,-1.66827590663782,4.12516868972218,-0.404413984522454,0.685908318276221,NA
"LOC124903816",0.46695477959822,3.15440511760268,5.25419628615353,0.60035920734738,0.548266867849634,NA
"LOC124900384",1.04221979190551,2.16904296493462,3.37355913441169,0.642953888909041,0.520254020641191,NA
"LOC729737",13.0381214812672,0.503240313212496,1.07847683506326,0.466621346746848,0.640770811578107,NA
"DDX11L17",0.304640781216948,2.31942793225931,5.29522784741823,0.438022309727462,0.661370111053674,NA
"WASH9P",66.3896118947967,0.0333744437909136,0.447708896814462,0.0745449644364439,0.940576764222363,0.977695904438255
"MIR6859-2",0,NA,NA,NA,NA,NA
"LOC127239154",1.96160829491322,-4.20167935616923,2.64687457375793,-1.58741158263644,0.112419457705478,NA
"LOC124903815",0,NA,NA,NA,NA,NA
"LOC124900618",0,NA,NA,NA,NA,NA
"LOC112268260",0.082914999460601,1.30472036252764,5.38788326800373,0.242158246129013,0.808657547036568,NA
"LOC100132287",0.138810782295746,0,5.39771667956139,0,1,NA
"LOC105378947",0.483403392938893,0.323750886574761,4.74650123513645,0.0682083224119195,0.945619802075948,NA
"MIR12136",11.7000505493642,-0.761647101829142,0.881850052144221,-0.863692302310574,0.38775694339388,NA
"LOC100288069",21.4808274193058,-0.233648090160297,0.74135535239882,-0.315163422512938,0.752637575994774,0.898156819239953
"LINC01409",3.06561760462595,-0.71905940125973,1.79431572398004,-0.400742963821749,0.688609375353224,NA
"LOC124903817",3.97089332181405,0.94174725576746,1.4084896724886,0.668622052516388,0.503736601596198,NA
"FAM87B",4.49001024950938,-1.96628861790213,1.48906054791697,-1.32048936536043,0.186671684341629,NA
"LINC00115",12.2383770364949,0.0846717562247932,0.85047932872484,0.0995576886645148,0.920695486423356,NA
"LINC01128",564.644313780308,-0.0459276289428522,0.12200801467664,-0.376431245640502,0.706596320652145,0.876076626040121
"LOC284600",2.61101071101722,-2.85611331826707,2.23984095497128,-1.2751411263947,0.20225929500919,NA
