"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",147.403284255461,-0.0215102043758373,0.234238022530442,-0.0918305411882557,0.926832678217767,0.967510256858387
"MIR6859-1",1.02502461872738,0.191867177455743,3.10031357726231,0.0618863778370344,0.950653315614963,NA
"LOC124903816",0,NA,NA,NA,NA,NA
"LOC124900384",0.0743601506188782,0,5.39771667960659,0,1,NA
"LOC729737",10.8250727464922,0.375118144610893,0.951044088133764,0.394427712964378,0.693265286732941,NA
"DDX11L17",0.360168939536723,0,5.39771667949505,0,1,NA
"WASH9P",73.8523376659972,0.107283099807407,0.35219644161175,0.304611538141752,0.760662031249924,0.879833665107594
"MIR6859-2",0,NA,NA,NA,NA,NA
"LOC127239154",2.57957539330618,4.36216326988631,2.47295493541663,1.76394774017643,0.0777407781631218,NA
"LOC124903815",0.187974161441471,2.60527840288058,5.29260582455808,0.492248712494685,0.622543531927864,NA
"LOC124900618",0.155853289058809,2.35579287471821,5.30964309215876,0.443681963896448,0.657272537188795,NA
"LOC112268260",0.187974161441471,2.60527840288058,5.29260582455808,0.492248712494685,0.622543531927864,NA
"LOC100132287",0.0779266445294046,1.44069535818008,5.39147421445476,0.267217332565093,0.789301831767425,NA
"LOC105378947",2.03078912617336,0.0549951986232405,2.38219232750643,0.0230859607716086,0.981581704384233,NA
"MIR12136",10.7549774882189,-1.3611341716486,0.944943004866125,-1.44044049708737,0.149742813184936,NA
"LOC100288069",18.4412770413698,-0.775494966568318,0.698497882103519,-1.11023238070948,0.266898902759047,0.488190064490705
"LINC01409",3.16249177085512,0.760173848209787,1.69181359293661,0.449324825964009,0.653197351392408,NA
"LOC124903817",6.88119341716823,-0.447049369935166,1.11268259120441,-0.401776187988402,0.687848748091338,NA
"FAM87B",6.39977476160974,-0.645778665658592,1.37807365050537,-0.468609689635796,0.639348649996239,NA
"LINC00115",15.2772458422915,-0.0662801977032351,0.688958288995639,-0.0962034984728294,0.923358952325768,0.966024512694552
"LINC01128",624.286294023933,0.084231395054729,0.118354114077679,0.711689624911943,0.476656993734698,0.685923461045485
"LOC284600",2.87653178578329,-1.12507793381815,2.17217744227743,-0.517949368187232,0.604493596058906,NA
"LINC02593",0,NA,NA,NA,NA,NA
"LOC107985728",0,NA,NA,NA,NA,NA
"SAMD11",3.31846024937623,-0.743959054148116,1.63399647201903,-0.455300281786321,0.648893223557053,NA
"NOC2L",6233.80682064818,0.0209809799784672,0.0519390005634181,0.403954249232217,0.686246362628846,0.833254031055483
"KLHL17",138.711070028802,0.0776751135272177,0.317692059919996,0.244498126729319,0.8068450526111,0.906339764431214
"PLEKHN1",23.4366350474624,-0.25726232647069,0.584591775602632,-0.440071751275476,0.659885140862127,0.81599568874596
"PERM1",0.332722711806195,-2.30629862423642,5.30770536409897,-0.43451896177887,0.663911628360352,NA
"HES4",438.159857216059,-0.782246154343788,0.152741508672367,-5.12137244906831,3.03319877079342e-07,5.21176141389728e-06
"ISG15",736.365047443891,-0.20212470940767,0.133271775772827,-1.51663552343002,0.129358731358453,0.301096228506394
"AGRN",7253.27711776135,-0.383196666392565,0.0673847941734569,-5.68669343125348,1.29522664671755e-08,2.81869874503777e-07
"LOC100288175",12.3972012428601,-0.821355347008261,0.790764581677589,-1.03868504740788,0.298951237504688,NA
"LOC105378948",0.789941677415493,0.0612304706819861,3.93821135793209,0.015547786829333,0.987595160714133,NA
"C1orf159",414.641723964461,-0.234320202463448,0.142456393953217,-1.64485563589655,0.0999995856130106,0.251527898359336
"LOC124903820",1.62802363499853,1.3370527464224,2.24370716719405,0.595912321345614,0.551233801558458,NA
"LOC124903818",0.111078098174512,0,5.39771667956879,0,1,NA
"TNFRSF18",0.184160857211458,0,5.39771667955612,0,1,NA
"TNFRSF4",20.9151019882442,1.81506010060703,0.738052763906645,2.45925520419379,0.0139225609520153,0.057277957795474
"SDF4",11387.1275680295,0.058972125915746,0.0413841481759325,1.42499310762767,0.154159193457236,0.339764895436292
"B3GALT6",2054.50703412408,0.0888008077168178,0.069005154693631,1.28687209109342,0.198138874357279,0.403549167979843
"C1QTNF12",6.44076358946688,-0.466181816922317,1.20187115494971,-0.387880027740431,0.698104818847182,NA
"UBE2J2",4515.31884680384,0.0188677299005762,0.0507892415596456,0.371490680332732,0.710272096152993,0.849290481676751
"LINC01786",3.68596550743658,-0.535436372053534,1.61770022371734,-0.330986151947946,0.740654945725235,NA
"SCNN1D",7.72030554728516,0.0353265530855805,0.988675643151114,0.0357311857840327,0.971496703762928,NA
"ACAP3",582.191397911666,-0.0764456909078766,0.122068649196451,-0.626251633085978,0.531149905284075,0.725165277407736
"SNORD167",0.176008082325265,0,5.39771667955973,0,1,NA
"PUSL1",583.524051568351,-0.198695293391134,0.113651089067404,-1.74829203152899,0.0804134723515553,0.217207539958198
"INTS11",4756.70274605045,-0.0281756333477471,0.0516770706232989,-0.545225048709398,0.585598745826354,0.765237736981029
"CPTP",2485.29331879786,0.00451873800539042,0.0646591761634645,0.0698854868482491,0.944284804701574,0.976288471956536
"TAS1R3",13.4431994424742,0.733953624493951,0.791259897378758,0.927575916491347,0.353627595193945,NA
"DVL1",2284.69561755947,0.113873269253883,0.0645057748603664,1.76531898888713,0.0775101699026779,0.212004559145408
"MXRA8",45.0830278680838,-0.282885647987988,0.429825648106651,-0.658140455866414,0.510447882042735,0.711558591382923
"AURKAIP1",3617.70392463358,-0.0613285747980412,0.057659411836558,-1.0636351090761,0.287494031155194,0.511903107400287
"CCNL2",1308.44440548542,-0.0689219018154396,0.114970642028504,-0.599473923076398,0.54885689437104,0.73910089878322
"MRPL20-AS1",318.41377249651,0.0294801865911814,0.195219352515569,0.151010574573186,0.87996737425918,0.944853857411625
"MRPL20",2810.43111171916,-0.183485863355388,0.0608518493151255,-3.0152882027495,0.00256735175664006,0.0147334858492562
"MRPL20-DT",76.1949197958746,0.460414488937677,0.360662636995539,1.27657938946243,0.201750782170087,0.40831781763451
"ANKRD65",11.226988097876,-0.832614117722525,0.930568911594381,-0.894736657703269,0.370927877872569,NA
"ANKRD65-AS1",0.357700162662597,-2.50547151885293,5.29412473281342,-0.47325509792465,0.636031192899193,NA
"TMEM88B",0,NA,NA,NA,NA,NA
"LINC01770",0.9338043256784,-2.49216297323537,3.33603891708083,-0.747042536127279,0.455037885211684,NA
"LOC107985729",0.239699906298714,0,5.39771667954997,0,1,NA
"VWA1",154.483534180385,-0.303851831596221,0.228146226930082,-1.33182930826789,0.182916284797257,0.381983873605644
"ATAD3C",32.4988425828514,-0.67755680876295,0.515093825281823,-1.31540464184799,0.188373946323127,0.389665130564894
"ATAD3B",1336.40661309338,-0.131398084951882,0.0836968559281039,-1.5699285653544,0.116431731126164,0.280203350711311
"ATAD3A",1670.1739420127,-0.37966572493825,0.084523193163322,-4.49185259961289,7.06062856602394e-06,8.93505734009935e-05
"TMEM240",91.2651066683014,0.0190538237080742,0.299600162741673,0.0635975078708589,0.949290716157913,0.978789109131164
"SSU72",6528.25905331497,0.0518911690221882,0.0506308823190184,1.02489165990095,0.30541431028387,0.531284032453777
"FNDC10",146.876424538239,-0.589782174983811,0.254808698439884,-2.31460769822564,0.0206344111963472,0.0775066618441692
"LOC105378586",0.495038846159842,1.44083754450219,5.2584683491979,0.274003274113453,0.784082105539403,NA
"MIB2",297.956557610035,-0.145083239695719,0.164131288593096,-0.883946266061431,0.376725220184793,0.601637099010014
"LOC124903821",6.46520576638936,-0.885669278361956,1.11501254348661,-0.794313286909308,0.427013070816786,NA
"MMP23B",1.42339411169125,-3.40832306949329,2.91246760925771,-1.17025269522635,0.241899292470889,NA
"CDK11B",1612.14731473228,-0.161373000298991,0.0824151385145348,-1.95805046509181,0.0502240913755787,0.154748432267363
"SLC35E2B",4349.46136415049,0.110001038180276,0.0511031320718066,2.15253026029226,0.0313556146065491,0.107813694513039
"MMP23A",0.926717979018279,0,3.89424570833647,0,1,NA
"CDK11A",748.486677740499,-0.0803511115142949,0.101579031350165,-0.791020651076178,0.428931940731546,0.647156393115959
"SLC35E2A",214.460062669766,-0.13465234714728,0.214108265936381,-0.628898405946129,0.529415569724735,0.724212409228481
"LOC112268218",0.919574934331666,2.59477469446274,3.75800825168441,0.690465406322542,0.489901557385506,NA
"NADK",4511.48662500065,-0.100034024086163,0.0597002007409984,-1.67560615951943,0.0938153615192865,0.240883404094207
"GNB1",38316.5768283416,-0.131326299649068,0.0324642132461358,-4.04526358465502,5.2264285824473e-05,0.000525265575133376
"GNB1-DT",10.4703301818518,0.180068154325523,0.917282155361114,0.196306178282335,0.844370525904842,NA
"LOC124903822",3.19940886781608,3.57699867306985,2.26031612310815,1.58252141658448,0.113530587145963,NA
"CALML6",0,NA,NA,NA,NA,NA
"TMEM52",30.893730950201,-1.01018004009689,0.54200669601122,-1.86377778638362,0.0623529164706257,0.181477454234957
"LOC105378589",0,NA,NA,NA,NA,NA
"PRKCZ",6.01310935319011,-0.104975008185034,1.16804471727792,-0.0898724223758089,0.928388596203276,NA
"PRKCZ-DT",0.0743601506188782,0,5.39771667960659,0,1,NA
"PRKCZ-AS1",26.8490044255461,0.464583954013593,0.540817580522063,0.859040036318937,0.390318427928506,0.614469167867854
"FAAP20",1455.88657834824,0.137877216520516,0.0813654739955845,1.69454204283254,0.0901623296361329,0.234598612924444
"LOC112268219",61.9625605610535,-0.388824457968846,0.358913186350648,-1.08333845831169,0.278658220930575,0.501664663241222
"LOC105378593",1.82701799206837,1.45127643774683,2.22354661992226,0.652685410210813,0.51395911017821,NA
"SKI",10442.5006453769,0.108372936364024,0.0435609649790061,2.48784517092892,0.0128519670597077,0.0538838995139867
"LOC124903824",7.21674794174697,1.83390094630531,1.41221350289473,1.29860034799711,0.19408111849551,NA
"MORN1",79.1620879919719,0.070181619023317,0.339108014050445,0.206959482275393,0.836041501843945,0.922857857175611
"LOC100129534",2.22322112491822,-2.7576415327758,2.28973772082963,-1.20434821319913,0.228455019117552,NA
"RER1",6425.48873467878,-0.00670313097849393,0.0452624374594137,-0.148094785759263,0.882267964432875,0.945560803513099
"PEX10",1193.28113619196,-0.109564543104134,0.0853541080227187,-1.28364698129083,0.199265503245585,0.405018822388773
"PLCH2",0.111078098174512,0,5.39771667956879,0,1,NA
"TNFRSF14",9.82806391780595,-0.201762055722719,0.858652007820996,-0.234975349600278,0.814227865791529,NA
"PRXL2B",0.187974161441471,2.60527840288058,5.29260582455808,0.492248712494685,0.622543531927864,NA
"LOC124903827",0,NA,NA,NA,NA,NA
"PRDM16",0.194956005281414,0,5.39771667955706,0,1,NA
"LOC107984909",0.187974161441471,2.60527840288058,5.29260582455808,0.492248712494685,0.622543531927864,NA
"LOC105378604",16.2988263052722,-0.0440229958871058,0.830760197058226,-0.0529912194192668,0.957738903773634,0.983700308420214
"ARHGEF16",14.5637133352538,-0.980954336535568,0.818464975195782,-1.19852940109125,0.230710984085324,0.444889944879012
"MEGF6",1079.6571549491,-0.554508963105351,0.107258408146773,-5.16984143887867,2.34292699335802e-07,4.12970766852225e-06
"LOC105378608",0.148720301237756,0,5.39771667955211,0,1,NA
"MIR551A",0,NA,NA,NA,NA,NA
"TPRG1L",6333.61072934679,0.0646410872291656,0.0456451460212214,1.41616563564311,0.156727014644748,0.343559120499026
"WRAP73",803.152107869137,-0.100356380093478,0.109419246130351,-0.917173017020458,0.359051983880494,0.585248804581805
"TP73",10.3785423113414,0.630300370746002,0.929185309143326,0.678336564885119,0.497558319857357,NA
"GFOD3P",1074.21586790658,-0.169591088185375,0.104647621724599,-1.62059190061373,0.105105190412393,0.260715962360234
"CCDC27",1.02819464550612,4.19353056174228,3.92171262127637,1.06931102982692,0.284929542190184,NA
"SMIM1",28.1780828184178,0.211735999730217,0.551827956540056,0.383699298342539,0.701201332727095,0.84333343924767
"LRRC47",3421.16012485861,0.067856171401195,0.051949370259592,1.30619815143314,0.191485181306849,0.393747233731675
"CEP104",2300.49474913553,0.0149035387168093,0.0751157933669276,0.198407525884844,0.84272622968728,0.926812515177058
"LOC124903829",7.4092293996398,-0.362996156641486,1.11710377085213,-0.324943990086609,0.745223462603258,NA
"DFFB",559.988626413732,0.00416055983679753,0.139105436051591,0.0299093978991193,0.976139310764156,0.989980019381974
"C1orf174",1430.14201127986,-0.195398081513383,0.086370765497122,-2.26231735227464,0.023677803089549,0.0862651096478982
"LINC01134",7.47750970812977,2.7682292744914,1.26128828011572,2.19476333692517,0.0281805787129386,NA
"LINC02780",0.111078098174512,0,5.39771667956879,0,1,NA
"AJAP1",56.6141877823981,0.472170340864194,0.419066567782505,1.12671918297536,0.259861229231487,0.479890678860872
"LOC124903830",0.148720301237756,0,5.39771667955211,0,1,NA
"MIR4689",0,NA,NA,NA,NA,NA
"NPHP4",513.007255199733,0.0115370331820694,0.1362299424341,0.0846879399339858,0.932509484059658,0.970920594205719
"KCNAB2",101.399623420526,0.14997900914955,0.319875389274667,0.468866984389249,0.639164716702249,0.802308767381995
"LOC124903831",0.444681535064818,-2.30632819198325,5.3077032085003,-0.434524708971981,0.663907455859354,NA
"CHD5",0.51681611956852,0,5.10169591050575,0,1,NA
"RPL22",19526.2521736005,0.112024392384356,0.0416192761049264,2.69164682494552,0.00711001941634794,0.0337872621439175
"RNF207-AS1",2.86498999698347,3.38461541256696,2.28672944123992,1.48011188010583,0.138843391626677,NA
"RNF207",15.6803011151164,-1.50404260084706,0.823045802982266,-1.827410571073,0.0676380611137688,0.191826104235377
"ICMT",10295.2236430762,-0.0330537404149204,0.0371298454487261,-0.890220253153636,0.373347631677255,0.59873400512336
"ICMT-DT",7.49171703955457,-0.571330313354986,1.07895619316008,-0.529521325311323,0.596443855006654,NA
"GPR153",733.428291846343,0.51836063676423,0.11236095122428,4.61335215763301,3.96226129382629e-06,5.3108136585243e-05
"ACOT7",4514.95509884193,-0.23868361896017,0.0546206220901328,-4.36984438892519,1.24335107036595e-05,0.000147864616535173
"HES2",1363.00605915785,0.0575049200484727,0.0919033996767036,0.625710476987387,0.531504860018849,0.725549253757646
"ESPN",61.0046655675954,0.440904081486561,0.378005352198729,1.16639639868052,0.243454213919247,0.460372657025932
"TNFRSF25",117.530909413864,0.183522215983455,0.294369193911384,0.623442329494239,0.532993888812186,0.726733354661628
"PLEKHG5",3005.63932635895,0.191952127651116,0.0674590713906981,2.84546056881513,0.00443472496877689,0.02293758308419
"NOL9",3245.85354775647,0.103638337758886,0.0850742751645517,1.21821005889768,0.223144158126821,0.435141850460835
"TAS1R1",0.338949686593433,-2.30629963703874,5.30770529026004,-0.434519158641106,0.663911485436868,NA
"ZBTB48",268.145149807888,0.278855853235598,0.196829527382295,1.41673790992743,0.156559568924041,0.343357670681054
