node1,node2,citation
DNAPK,TP53,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
TP53,CDKN1A,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
TP53,GADD45A,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
TP53,p21,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
MDM2,MDM2,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
TP53,MDM2,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
MDM2,TP53,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
ATM,TP53,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
ATM,IKK1,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
ATM,IKK2,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
TP53,p27,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
TP53,PIDD,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
p21,NFkB,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
IKK1,NFkB,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
TNFa,NFkB,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
IKK2,NFkB,https://pmc.ncbi.nlm.nih.gov/articles/PMC9319710
MYC,RHOA,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
TGFb,SMAD,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
ATF2,RHOB,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
SMAD,RHOB,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
JUN,RHOB,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
TP53,RHOC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
TP53,RHOE,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
JNK,BIM,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
JNK,RHOB,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
TP53,CASP3,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
RHOE,ROCK1,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
ROCK1,MYPT1,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
MYPT1,MLC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
TP53,RHOC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
RHOC,ROCK2,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
ROCK2,LIMK2,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
miR31,RHOA,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
miR21,RHOV,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
miR10b,RHOC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
miR138,RHOC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3265777/
