TP53 [3,4,5,7,8]
MYC [3,4,5,7,8,9,13]
FOS [3,5,6,2,1]
BCL2 [5,10,8,2,1,12]
NFYB [5]
E2F4 [5]
B2M [5]
EGR2 [5]
CDKN1A [2,3,4,5]
GADD45A [3,4,5]
ATM [8]
ATR [8]
SOD2 [1]
GPX1 [8]
HMOX1 [9]
BAX [8,10,11]
CASP3 [12]
ILB [3,2,1]
IL6 [3,2,1]
IL8 [3,2,1]
IL33 [3,2,1]
TNF [6,5,8,3,2,1]
TNFAIP3 [6,5,8,3,2,1]
TNF-alpha [6,5,8,3,2,1]
NFKB1 [3]
EGR1 [5]
RAD51 [13]
MDM2 [4,8,5,3,1]
XPC [4,8]
DDB2 [8,5,2,1]
TGF-beta-1 [8]
CXCL2 [1,2,3]
CXCL3 [1,2,3]
CXCL4 [1,2,3]
GDF15 [1,3]
FDXR [1,2]
FAS [1,2,3,4,5,6,7,8,9,12]
PTGS2 [1,2]
FGF2 [7,1]
POU5F1 [7,1]
MMP1 [1,2]
MMP3 [1,2]
DKK1 [1,2]
SERPINB2 [1]
IL1A [1]
IL1B [1]
LIF [1]
MMP10 [1]
ATF3 [1]
BCL2A1 [1,2]
MT1E [3]
KDM5B [3]
BMP2 [1]
KYNU [1]
LAMB3 [1]
