complex_id	complex_name	synonyms	organism	cell_line	pmid	comment_complex	comment_members	comment_disease	comment_drug	comment_drug_formal	subunits_uniprot_id	subunits_gene_name	subunits_gene_name_synonyms	subunits_protein_name	subunits_proteinname_synonyms	subunits_organism	subunits_drugs	subunits_mims	subunits_stoechiometrie	purification_methods	functions_evi	functions_pmid	functions_go_id	functions_go_name	functions_go_ontology	fcgs_description	fcgs_id	fcgs_name	fcgs_category_id	fcgs_category_name	fcgs_go_id	fcgs_go_name	fcgs_go_ontology
1	BCL6-HDAC4 complex		Human	U2OS osteosarcoma-derived UTA-L cells	11929873	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.					P41182;P56524	BCL6;HDAC4	BCL5,LAZ3,ZBTB27,ZNF51;KIAA0288	B-cell lymphoma 6 protein;Histone deacetylase 4	BCL-6;HD4	Homo sapiens (Human);Homo sapiens (Human)	romidepsin;panobinostat;belinostat	619797	;	MI:0007:anti tag coimmunoprecipitation	lit;exp;lit;lit;exp;lit	11929873;11929873;11929873;11929873;11929873;11929873	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process								
2	BCL6-HDAC5 complex		Human	U2OS osteosarcoma-derived UTA-L cells	11929873	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.					P41182;Q9UQL6	BCL6;HDAC5	BCL5,LAZ3,ZBTB27,ZNF51;KIAA0600	B-cell lymphoma 6 protein;Histone deacetylase 5	BCL-6;HD5	Homo sapiens (Human);Homo sapiens (Human)	romidepsin;panobinostat;belinostat		;	MI:0007:anti tag coimmunoprecipitation	lit;exp;lit;lit;exp;lit	11929873;11929873;11929873;11929873;11929873;11929873	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process								
3	BCL6-HDAC7 complex		Human	U2OS osteosarcoma-derived UTA-L cells	11929873	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.					P41182;Q8WUI4	BCL6;HDAC7	BCL5,LAZ3,ZBTB27,ZNF51;HDAC7A	B-cell lymphoma 6 protein;Histone deacetylase 7	BCL-6;HD7	Homo sapiens (Human);Homo sapiens (Human)	romidepsin;panobinostat;belinostat		;	MI:0007:anti tag coimmunoprecipitation	lit;exp;lit;lit;exp;lit	11929873;11929873;11929873;11929873;11929873;11929873	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process								
4	Multisubunit ACTR coactivator complex		Human	different human tissues and cancer cell lines	9267036	Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.					Q92793;Q09472;Q92831;Q9Y6Q9	CREBBP;EP300;KAT2B;NCOA3	CBP;P300;PCAF;AIB1,BHLHE42,RAC3,TRAM1	CREB-binding protein;Histone acetyltransferase p300;Histone acetyltransferase KAT2B;Nuclear receptor coactivator 3	;p300 HAT;Histone acetylase PCAF;NCoA-3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		180849;618332;613684;618333	;;;	MI:0004:affinity chromatography technology;MI:0018:two hybrid;MI:0096:pull down	exp;exp	9267036;9267036	GO:0004402;GO:0030374	histone acetyltransferase activity;nuclear receptor coactivator activity	molecular_function;molecular_function								
10	Condensin I complex	13S condensin complex	Human	HeLa cells	11136719						Q15021;Q9BPX3;Q15003;O95347;Q9NTJ3	NCAPD2;NCAPG;NCAPH;SMC2;SMC4	CAPD2,CNAP1,KIAA0159;CAPG,NYMEL3;BRRN,BRRN1,CAPH,KIAA0074;CAPE,SMC2L1;CAPC,SMC4L1	Condensin complex subunit 1;Condensin complex subunit 3;Condensin complex subunit 2;Structural maintenance of chromosomes protein 2;Structural maintenance of chromosomes protein 4	hCAP-D2;hCAP-G;hCAP-H;hCAP-E;hCAP-C	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		617983;617985	;;;;	MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation	lit;lit;exp;exp;exp;exp	11136719;11136719;11136719;11136719;11136719;11136719	GO:0000278;GO:0000279;GO:0005694;GO:0007059;GO:0030261;GO:0051276	mitotic cell cycle;M phase;chromosome;chromosome segregation;chromosome condensation;chromosome organization	biological_process;biological_process;cellular_component;biological_process;biological_process;biological_process								
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)		Human	HeLa cells	12847290	The results suggest that HPS1 and HPS4 are components of a protein complex that regulates the intracellular localization of lysosomes and late endosomes and may function in a BLOC-1-dependent pathway for melanosome biogenesis.		HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).			Q92902;Q9NQG7	HPS1;HPS4	HPS;KIAA1667	BLOC-3 complex member HPS1;BLOC-3 complex member HPS4	;Light-ear protein homolog; 	Homo sapiens (Human);Homo sapiens (Human)		203300;614073	;	MI:0019:coimmunoprecipitation;MI:0029:cosedimentation through density gradient	exp;exp;exp;exp	12847290;12847290;12847290;12847290	GO:0007032;GO:0007033;GO:0007040;GO:0031082	endosome organization;vacuole organization;lysosome organization;BLOC complex	biological_process;biological_process;biological_process;cellular_component								
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)		Human	HeLa cells	15030569	The results suggest that BLOC-2 is not critical for basal levels of secretion of lysosomal enzymes by fibroblasts.		HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome.			Q969F9;Q9UPZ3;Q86YV9	HPS3;HPS5;HPS6	;AIBP63,KIAA1017;	BLOC-2 complex member HPS3;BLOC-2 complex member HPS5;BLOC-2 complex member HPS6	;Ru2;Ru	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		614072;614074;614075	;;	MI:0019:coimmunoprecipitation;MI:0029:cosedimentation through density gradient;MI:0071:molecular sieving	exp;exp;exp;exp	15030569;15030569;15030569;15030569	GO:0007032;GO:0007033;GO:0007040;GO:0031082	endosome organization;vacuole organization;lysosome organization;BLOC complex	biological_process;biological_process;biological_process;cellular_component								
13	CDS1-MUS81 complex		Human	HeLa cells	11741546						Q92903;Q96NY9	CDS1;MUS81	CDS;	Phosphatidate cytidylyltransferase 1;Crossover junction endonuclease MUS81	CDS 1;	Homo sapiens (Human);Homo sapiens (Human)			;	MI:0004:affinity chromatography technology	exp;exp	11741546;11741546	GO:0006281;GO:0006310	DNA repair;DNA recombination	biological_process;biological_process								
15	NCOR complex	NCOR1 complex	Human	HeLa cells	12628926	Corepressors N-CoR and SMRT participate in diverse repression pathways and exist in large protein complexes including HDAC3, TBL1 and TBLR1. The purified N-CoR complex contains 10-12 associated proteins, including previously identified components and a novel actin-binding protein IR10. It is shown that TBL1/TBLR1 associates with N-CoR through two independent interactions: the N-terminal region and the C-terminal WD-40 repeats interact with the N-CoR RD1 and RD4 region, respectively. In vitro, TBL1/TBLR1 bind histones H2B and H4, and, importantly, repression by TBL1/TBLR1 correlates with their interaction with histones. By using specific small interference RNAs (siRNAs), the authors demonstrate that HDAC3 is essential, whereas TBL1 and TBLR1 are functionally redundant but essential for repression by unliganded thyroid hormone receptor.					Q92828;Q13227;O15379;O75376;O60907;Q9BZK7	CORO2A;GPS2;HDAC3;NCOR1;TBL1X;TBL1XR1	IR10,WDR2;;;KIAA1047;TBL1;IRA1,TBLR1	Coronin-2A;G protein pathway suppressor 2;Histone deacetylase 3;Nuclear receptor corepressor 1;F-box-like/WD repeat-containing protein TBL1X;F-box-like/WD repeat-containing protein TBL1XR1	WD repeat-containing protein 2; IR10; ;Protein GPS2;HD3;N-CoR1;Transducin beta-like protein 1X; Transducin-beta-like protein 1, X-linked; SMAP55; ;Transducin beta-like 1X-related protein 1; Nuclear receptor corepressor/HDAC3 complex subunit TBLR1; TBL1-related protein 1; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	romidepsin;vorinostat;panobinostat;belinostat;tucidinostat	301033;602342;616944	;;;;;	MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation;MI:0069:mass spectrometry studies of complexes;MI:0096:pull down	lit;lit;lit;lit;exp;lit	12628926;12628926;12628926;12628926;12628926;12628926	GO:0005634;GO:0006265;GO:0006473;GO:0006476;GO:0045892;GO:0051276	nucleus;DNA topological change;protein acetylation;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process								
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)		Human	HeLa cells	15102850	The authors identified Snapin, BLOS1, BLOS2, and BLOS3 as subunits of BLOC-1 and found that the HPS mouse model strain, reduced pigmentation, carries a nonsense mutation in BLOS3. The genes encoding these proteins may underlie the pathogenesis of novel forms of HPS in patients having no detectable mutation in any of the genes that cause HPS types 1-7. 		PLDN, MUTED, CNO and DTNBP1 are involved in Hermansky-Pudlak syndrome (HPS), a genetic disorder characterized by hypopigmentation and platelet storage pool deficiency.			P78537;Q6QNY1;Q6QNY0;Q9NUP1;Q8TDH9;Q9UL45;Q96EV8;O95295	BLOC1S1;BLOC1S2;BLOC1S3;BLOC1S4;BLOC1S5;BLOC1S6;DTNBP1;SNAPIN	BLOS1,GCN5L1,RT14;BLOS2,CEAP;BLOS3;CNO;MUTED;PA,PLDN;BLOC1S8;BLOC1S7,SNAP25BP,SNAPAP	Biogenesis of lysosome-related organelles complex 1 subunit 1;Biogenesis of lysosome-related organelles complex 1 subunit 2;Biogenesis of lysosome-related organelles complex 1 subunit 3;Biogenesis of lysosome-related organelles complex 1 subunit 4;Biogenesis of lysosome-related organelles complex 1 subunit 5;Biogenesis of lysosome-related organelles complex 1 subunit 6;Dysbindin;SNARE-associated protein Snapin	BLOC-1 subunit 1;BLOC subunit 2;BLOC subunit 3;;;Pallid protein homolog; Syntaxin 13-interacting protein; ;Dystrobrevin-binding protein 1; Hermansky-Pudlak syndrome 7 protein homolog; Hps7-like protein; ;SNAP-associated protein	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		614077;619172;614171;614076	;;;;;;;	MI:0019:coimmunoprecipitation	lit	15102850	GO:0031082	BLOC complex	cellular_component								
